Area,Criteria,Maximum Mark
IT Software Solutions for Business,Presentation,10
CNC Maintenance,Verification,15
Electrical Installations,Abstract,15
Automobile Technology,Transformation,15
Restaurant Service,Abstract,15
IT Software Solutions for Business,Efficiency,5
CNC Maintenance,Conceptualization,5
Rapid Transit Systems,Judgement,5
Information Network Cabling,Transformation,15
Hairdressing,Coordination,15
Internet-of-Things,Validation,5
Restaurant Service,Execution,20
CNC Maintenance,Combined,15
Rapid Transit Systems,Effectiveness,10
IT Software Solutions for Business,Abstract,10
Fashion Technology,Validation,20
Internet-of-Things,Conceptualization,10
Restaurant Service,Effectiveness,10
Fashion Technology,Accuracy,5
Industrial Automation,Presentation,5
Automobile Technology,Theory,15
Electronics,Transformation,5
IT Software Solutions for Business,Proposal,10
Restaurant Service,Presentation,10
Internet-of-Things,Proposal,10
Industrial Automation,Advanced,5
Electrical Installations,Communication,20
Industrial Automation,Coordination,20
Automobile Technology,Enhancement,10
Internet-of-Things,Coordination,20
Industrial Automation,Abstract,10
CNC Maintenance,Enhancement,15
CNC Maintenance,Judgement,15
Electronics,Design,20
Electronics,Accuracy,20
Automobile Technology,Bonus,5
Electronics,Conceptualization,15
Rapid Transit Systems,Speed,5
Industrial Automation,Speed,15
Industrial Automation,Communication,5
Hairdressing,Transformation,20
IT Software Solutions for Business,Verification,10
Fashion Technology,Coordination,15
